Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P45983	JNK1	0.703371788	0.974694135	1.678065923	1.648358274	-3.334233274	-3.300403729	0.087333815	21.55555556
P53779	JNK3	0.7112649	0.974694135	1.685959034	1.648358274	-3.345122836	-3.300403729	0.088688011	21.11111111
P45984	JNK2	0.68346577	0.974694135	1.658159905	1.616759288	-3.387135109	-3.345950333	0.25170412	16
Q15418	RSK3	0.647017029	0.974694135	1.621711164	1.60920615	-3.467316002	-3.467316002	0	10
Q9UBS0	p70S6K[beta]	0.649625446	0.974694135	1.62431958	1.587304308	-3.310341066	-3.197277956	0.256859589	24
Q13237	PKG2	0.577747314	0.974694135	1.552441448	1.583759028	-3.141481815	-3.174304711	0.145938049	35.77777778
P23443	p70S6K	0.773653609	0.974694135	1.748347744	1.573293594	-3.342162356	-3.285444091	0.320813214	18.33333333
Q15139	PKD1	0.594525099	0.974694135	1.569219234	1.573293594	-3.546368932	-3.546368932	0	6
Q9UKE5	TNIK/ZC2	0.601616246	0.974694135	1.576310381	1.568157294	-3.808868359	-3.808868359	0	3
P68400	CK2[alpha]1	0.561110632	0.974694135	1.535804767	1.527536103	-3.650252073	-3.650252073	0	3
O43930	PRKY	0.634503873	0.974694135	1.609198007	1.500477871	-3.270620504	-3.258003641	0.470854577	10.77777778
Q15759	p38[beta]	0.54721728	0.974694135	1.521911415	1.500477871	-3.563166182	-3.382817615	0.561921277	4.6
P51812	RSK2	0.511129124	0.974694135	1.485823258	1.483332441	-3.311839298	-3.311839298	0	8
Q13131	AMPK[alpha]1	0.544810282	0.974694135	1.519504417	1.480539541	-3.316810858	-3.233635736	0.167825807	10.77777778
O43293	DAPK3	0.49757288	0.974694135	1.472267015	1.472267015	-3.396924014	-3.396924014	NA	3
O15111	IKK[alpha]	0.520928781	0.974694135	1.495622915	1.466838263	-3.511514533	-3.269963858	0.362326013	3.666666667
Q9HBY8	SGK2	0.49578244	0.974694135	1.470476575	1.440668029	-3.269219148	-3.231928783	0.466865792	15.44444444
Q8TD08	ERK7	0.463441557	0.974694135	1.438135692	1.438135692	-3.329634287	-3.329634287	NA	3
O96017	CHK2	0.594235709	0.974694135	1.568929843	1.435618036	-3.234037021	-3.197785328	0.1644199	19.77777778
O14920	IKK[beta]	0.451980692	0.974694135	1.426674827	1.428151471	-3.28544189	-3.172203273	0.232080342	3.666666667
O75676	MSK2	0.431597565	0.974694135	1.4062917	1.406492411	-3.196804863	-3.196804863	0	3
Q16539	MAPK14	0.649405175	0.974694135	1.62409931	1.401822533	-3.600608888	-3.174063907	0.726442159	10.33333333
Q13535	ATR	0.442523497	0.974694135	1.417217632	1.394910538	-3.192241567	-3.147119596	0.135365912	7.888888889
P42345	mTOR/FRAP	0.402113688	0.974694135	1.376807823	1.379197913	-3.154888365	-3.116326441	0.069651505	4.888888889
Q96L96	AlphaK1	0.396312093	0.974694135	1.371006228	1.371006228	-3.145484523	-3.145484523	0	3
Q9Y6S9	RSKL2	0.382672855	0.974694135	1.35736699	1.352580322	-3.077260031	-3.077260031	0.105110623	3.5
P11309	Pim1	0.379556218	0.974694135	1.354250353	1.351444844	-2.962816989	-2.983933161	0.065066376	60.33333333
P41743	PKC[iota]	0.354040831	0.974694135	1.328734966	1.306308218	-2.980332067	-2.918715834	0.13970243	14.33333333
O60285	NuaK1	0.347735114	0.974694135	1.322429249	1.300752136	-2.957237858	-2.900577811	0.126695715	3.8
O76039	CDKL5	0.304024305	0.974694135	1.27871844	1.294776394	-2.708211385	-2.803284823	0.449876873	5.875
Q13976	PKG1	0.342343865	0.974694135	1.317038	1.291647096	-2.948504848	-2.953917562	0.141527435	39
Q9UHD2	TBK1	0.344748026	0.974694135	1.319442161	1.239095235	-2.661482475	-2.655251181	1.051521334	3.888888889
P06493	CDC2/CDK1	0.31084651	0.974694135	1.285540644	1.229619343	-2.883023863	-2.807248768	0.277405495	11.33333333
P17612	PKA[alpha]	0.340461074	0.974694135	1.315155209	1.223415031	-2.903132833	-2.911414494	0.18605627	52.11111111
Q02156	PKC[epsilon]	0.226102676	0.974694135	1.200796811	1.206796519	-2.765273737	-2.81849671	0.180850506	19.88888889
Q9P1W9	Pim2	0.249102032	0.974694135	1.223796167	1.195097643	-2.87801429	-2.857595638	0.150986025	38.33333333
P27361	ERK1	0.26581537	0.974694135	1.240509505	1.193657196	-2.811838825	-2.815460976	0.233129742	15.66666667
Q86V86	Pim3	0.215875313	0.974694135	1.190569448	1.176734491	-2.8842101	-2.884568549	0.061883976	57.22222222
Q15131	CDK10	0.195234391	0.974694135	1.169928526	1.169873456	-2.467318843	-2.587926305	0.317393473	6.111111111
Q8NI60	ADCK3	0.17504854	0.974694135	1.149742674	1.156468241	-2.518224414	-2.590896474	0.170843675	8.777777778
P17252	PKC[alpha]	0.144990981	0.974694135	1.119685116	1.133334664	-2.704735382	-2.755377012	0.115477868	30.22222222
O15264	p38[delta]	0.239606971	0.974694135	1.214301105	1.132084895	-2.792070328	-2.646251139	0.294395537	14.44444444
P28482	ERK2	0.151793071	0.974694135	1.126487206	1.117361638	-2.603001813	-2.590596117	0.147814594	15.44444444
O94921	PFTAIRE1	0.125384701	0.974694135	1.100078836	1.095024929	-1.87872543	-1.87872543	0	3
Q00535	CDK5	0.115548929	0.974694135	1.090243064	1.092739163	-2.159205877	-2.159205877	0	6
P05129	PKC[gamma]	0.181842645	0.974694135	1.156536779	1.082599532	-2.622760146	-2.510839831	0.254958005	15.22222222
P48730	CK1[delta]	0.106806031	0.974694135	1.081500165	1.081500165	-1.817166295	-1.817166295	0	3
O75116	ROCK2	0.080501758	0.974694135	1.055195893	1.069438086	-1.848990466	-1.912693089	0.118793611	4.8
P41279	COT	0.088734003	0.974694135	1.063428138	1.063003976	-1.772608259	-1.772608259	0	4
Q00532	CDKL1	0.107569143	0.974694135	1.082263278	1.056663798	-2.064746251	-1.96252911	0.156034969	5.6
Q05513	PKC[zeta]	0.079332105	0.974694135	1.05402624	1.055616042	-2.183441352	-2.191690875	0.026407853	9.555555556
Q05655	PKC[delta]	0.080467287	0.974694135	1.055161422	1.051450116	-2.50251271	-2.529866758	0.101831896	22.77777778
P50750	CDK9	0.086371414	0.974694135	1.061065549	1.050414849	-2.088819609	-2.053545591	0.052911028	6.666666667
Q04759	PKC[theta]	0.084687105	0.974694135	1.059381239	1.049382043	-2.487686824	-2.544455621	0.157800969	22.33333333
Q8IWB6	SgK307	0.211148705	0.974694135	1.18584284	1.048351688	-2.169792625	-1.532009823	0.956674203	3.333333333
P05771	PKC[beta]	0.06742364	0.974694135	1.042117774	1.04222037	-2.128373298	-2.128373298	0	10
Q92772	CDKL2	0.057570496	0.923169487	0.980739984	1.040715391	-1.418423914	-1.504332775	0.210432874	3.333333333
P49840	GSK3[alpha]	0.057450848	0.974694135	1.032144983	1.033182702	-1.607522329	-1.621991836	0.028712038	3.777777778
P49674	CK1[epsilon]	0.058527123	0.974694135	1.033221258	1.032190029	-1.49135542	-1.466206027	0.06653904	3.142857143
P50613	CDK7	0.06451812	0.974694135	1.039212254	1.02922555	-2.167990009	-2.298963748	0.259524116	12.22222222
Q13164	ERK5	0.059956905	0.94034437	1.000301275	1.02922555	-1.977459286	-2.289749939	0.532675692	11.11111111
Q13464	ROCK1	0.059832473	0.974694135	1.034526608	1.027260413	-1.705733102	-1.673269506	0.059367459	4.714285714
Q96Q40	PFTAIRE2	0.057023861	0.974694135	1.031717996	1.019487597	-1.782524077	-1.712187916	0.1855899	5.777777778
Q16512	PKN1/PRK1	0.034185505	0.974694135	1.008879639	1.015652742	-1.502143737	-1.523144992	0.056286408	5
P24941	CDK2	0.043461049	0.974694135	1.018155184	1.012798661	-2.129479573	-2.219130802	0.233816423	14.55555556
P49841	GSK3[beta]	0.033444941	0.974694135	1.008139076	1.010906307	-1.54548909	-1.552836147	0.022041169	4.888888889
O00141	SGK1	0.023304912	0.974694135	0.997999047	0.99972214	-1.134999865	-1.134999865	0	3
Q00537	PCTAIRE2	0.020451625	0.974694135	0.99514576	0.99514576	-1.100513826	-1.100513826	NA	3
P53778	p38[gamma]	0.020317021	0.974694135	0.995011156	0.990617101	-1.630964159	-1.596626802	0.192854219	8.333333333
Q16566	CaMK4	0.023958366	0.974694135	0.998652501	0.989717008	-1.904481069	-1.882295192	0.135350089	12.44444444
P24723	PKC[eta]	0.014753919	0.974694135	0.989448053	0.985244317	-1.888027933	-1.931289611	0.086707164	15
Q00526	CDK3	0.018278859	0.94034437	0.958623228	0.985244317	-1.727169701	-1.572489698	0.276643911	9.777777778
Q9BWU1	CDK11	0.027291819	0.665546249	0.692838068	0.692418395	-1.15626054	-1.15626054	0	3
P11802	CDK4	0.015350898	0.665546249	0.680897147	0.679670892	-1.202768278	-1.146572463	0.168587445	4.222222222
Q00534	CDK6	0.015643871	0.665546249	0.68119012	0.679670892	-1.147648916	-1.146572463	0.003229359	3.888888889
